id,timestamp,price,market_cap,total_volume,ath,atl,open,high,low,close
bitcoin,2025-03-12,82799.1080292053,1642997419531.6057,56404462275.083046,126080.0,67.81,82799.1080292053,82799.1080292053,82799.1080292053,82799.1080292053
bitcoin,2025-03-13,83884.24578828987,1662502658717.542,41782186208.59073,126080.0,67.81,83884.24578828987,83884.24578828987,83884.24578828987,83884.24578828987
bitcoin,2025-03-14,81098.90052436228,1608477373718.186,32583592654.882656,126080.0,67.81,81098.90052436228,81098.90052436228,81098.90052436228,81098.90052436228
bitcoin,2025-03-15,83971.70916064628,1665725559905.8198,28571483950.074646,126080.0,67.81,83971.70916064628,83971.70916064628,83971.70916064628,83971.70916064628
bitcoin,2025-03-16,84391.69087647168,1674173293916.4658,10761796127.312485,126080.0,67.81,84391.69087647168,84391.69087647168,84391.69087647168,84391.69087647168
bitcoin,2025-03-17,82610.61750343916,1638672153483.722,21638031633.118767,126080.0,67.81,82610.61750343916,82610.61750343916,82610.61750343916,82610.61750343916
bitcoin,2025-03-18,84075.36559694471,1667799227887.438,19659366246.596867,126080.0,67.81,84075.36559694471,84075.36559694471,84075.36559694471,84075.36559694471
bitcoin,2025-03-19,82780.03048688271,1642578274105.806,24557570268.85276,126080.0,67.81,82780.03048688271,82780.03048688271,82780.03048688271,82780.03048688271
bitcoin,2025-03-20,86815.44109470697,1721565138141.278,33871216993.304657,126080.0,67.81,86815.44109470697,86815.44109470697,86815.44109470697,86815.44109470697
bitcoin,2025-03-21,84270.84358966233,1672550706502.8184,27579127651.06656,126080.0,67.81,84270.84358966233,84270.84358966233,84270.84358966233,84270.84358966233
bitcoin,2025-03-22,84009.532917822,1666749159154.2927,18091004975.919056,126080.0,67.81,84009.532917822,84009.532917822,84009.532917822,84009.532917822
bitcoin,2025-03-23,83793.30854192551,1662574363663.653,7771134681.982918,126080.0,67.81,83793.30854192551,83793.30854192551,83793.30854192551,83793.30854192551
bitcoin,2025-03-24,85787.70914901773,1702009594329.4495,12617587530.619724,126080.0,67.81,85787.70914901773,85787.70914901773,85787.70914901773,85787.70914901773
bitcoin,2025-03-25,87327.72969669085,1732715331970.134,27270889835.1835,126080.0,67.81,87327.72969669085,87327.72969669085,87327.72969669085,87327.72969669085
bitcoin,2025-03-26,87520.58391530563,1735368473904.4885,30351832942.705593,126080.0,67.81,87520.58391530563,87520.58391530563,87520.58391530563,87520.58391530563
bitcoin,2025-03-27,86960.8555491039,1724854479045.6724,25522877558.700558,126080.0,67.81,86960.8555491039,86960.8555491039,86960.8555491039,86960.8555491039
bitcoin,2025-03-28,87227.27158032371,1729729987159.4822,24620445368.489468,126080.0,67.81,87227.27158032371,87227.27158032371,87227.27158032371,87227.27158032371
